rank,event_id,start,peak,end,duration_days,peak_area_km2,mean_area_km2,centroid_lat,centroid_lon,peak_tmax_C,peak_tmax_lat,peak_tmax_lon,max_anom_C,mean_anom_C,severity_C_km2_day,n_cell_days,koppen,zone
1,30,2026-06-12,2026-06-27,2026-07-03,22,2980025,1459992,48.91,13.63,43.59,44.25,-1.0,14.13,3.66,116787848,62275,Dfb,cold (continental)
2,66,2026-07-27,2026-08-13,2026-08-19,24,1962045,1063281,44.96,4.41,42.71,38.0,-4.0,11.11,2.66,66910770,47625,Dfb,cold (continental)
3,12,2026-05-20,2026-05-26,2026-06-02,14,2054782,1195894,45.29,6.78,39.03,39.25,-8.0,11.06,3.05,50322167,30505,Cfb,temperate
4,49,2026-06-30,2026-07-12,2026-07-24,25,1179162,700106,46.75,4.75,43.6,38.0,13.0,10.81,2.85,49600074,31565,Cfb,temperate
5,6,2026-05-14,2026-05-19,2026-05-22,9,1300042,814909,57.03,37.63,33.67,50.0,40.75,10.36,3.21,23100489,17898,Dfb,cold (continental)
6,88,2026-08-19,2026-08-28,2026-09-05,18,1004652,453460,41.26,17.12,42.72,41.25,15.75,8.71,2.45,20033734,14348,Csa,temperate
7,1,2026-05-01,2026-05-07,2026-05-10,10,1279879,683686,52.12,35.32,31.73,49.75,41.25,6.6,2.36,16069613,14567,Dfb,cold (continental)
8,59,2026-07-11,2026-07-21,2026-07-26,16,231760,186330,35.84,5.42,47.98,36.75,7.5,10.26,2.95,8786466,4760,Csa,temperate
9,53,2026-07-05,2026-07-10,2026-07-17,13,296364,215166,53.17,-3.88,34.31,52.5,0.0,9.21,3.1,8734033,6037,Cfb,temperate
10,42,2026-06-21,2026-06-25,2026-06-27,7,200203,180492,53.04,-2.18,36.58,51.5,-2.75,11.73,4.56,5788552,2711,Cfb,temperate
11,13,2026-05-22,2026-05-25,2026-05-30,9,203103,140203,53.03,-2.13,34.18,52.25,-0.25,11.09,4.36,5537630,2696,Cfb,temperate
12,95,2026-08-22,2026-08-27,2026-09-03,13,178062,145364,35.77,6.34,47.62,35.75,10.5,10.66,2.64,4987205,3012,BSk,arid
13,56,2026-07-10,2026-07-16,2026-07-17,8,385793,205705,59.94,12.21,33.36,59.5,11.0,7.11,2.76,4526827,4260,Dfb,cold (continental)
14,80,2026-08-11,2026-08-13,2026-08-14,4,310925,265951,53.21,-4.14,36.19,52.0,-1.75,10.85,4.04,4335832,2298,Cfb,temperate
15,19,2026-06-03,2026-06-13,2026-06-13,11,328776,140133,67.76,38.34,27.62,64.75,37.5,8.9,2.68,4094489,5404,Dfc,cold (continental)
16,29,2026-06-12,2026-06-13,2026-06-16,5,229304,170689,63.04,41.7,31.23,64.5,41.25,8.81,2.61,2198678,2462,Dfc,cold (continental)
17,43,2026-06-21,2026-06-25,2026-06-27,7,105869,77043,53.58,-7.74,31.36,53.25,-8.0,9.9,3.15,1707301,1173,Cfb,temperate
18,25,2026-06-07,2026-06-12,2026-06-13,7,306256,154231,55.2,37.29,31.33,55.0,39.25,3.83,1.32,1428016,2467,Dfb,cold (continental)
19,14,2026-05-24,2026-05-26,2026-05-28,5,81697,65173,53.06,-8.04,29.36,52.5,-9.25,8.93,3.92,1283291,703,Cfb,temperate
20,62,2026-07-17,2026-07-20,2026-07-22,6,163852,123837,39.85,21.0,41.23,39.5,22.25,4.68,1.49,1114996,1267,Csa,temperate
21,8,2026-05-19,2026-05-20,2026-05-23,5,150649,112933,66.86,31.61,27.13,64.75,30.0,6.65,1.58,897045,1872,Dfc,cold (continental)
22,67,2026-07-28,2026-08-03,2026-08-04,8,147062,103937,38.81,41.54,49.16,35.25,44.0,4.13,0.98,810028,1360,Csa,temperate
23,26,2026-06-11,2026-06-12,2026-06-14,4,98041,75654,41.27,-7.75,38.54,39.0,-8.25,9.54,2.6,779521,522,Csb,temperate
24,92,2026-08-22,2026-08-24,2026-08-26,5,123888,96157,38.52,43.0,45.03,36.5,43.0,4.12,1.57,752879,795,Dsb,cold (continental)
25,9,2026-05-19,2026-05-21,2026-05-23,5,59228,38822,66.01,14.71,21.29,64.25,11.75,7.31,2.18,420460,620,Dfc,cold (continental)
26,90,2026-08-21,2026-08-22,2026-08-26,6,75199,54200,39.5,30.56,40.62,37.75,27.75,3.55,1.15,374133,543,Csa,temperate
27,85,2026-08-17,2026-08-18,2026-08-19,3,71202,71202,40.92,-3.99,39.19,39.25,-1.75,4.47,1.55,330570,366,Csb,temperate
28,73,2026-08-02,2026-08-03,2026-08-04,3,52617,52617,49.1,0.4,36.11,48.75,2.75,5.95,2.06,325456,312,Cfb,temperate
29,35,2026-06-19,2026-06-20,2026-06-21,3,55794,55794,57.88,16.28,28.73,57.25,16.0,4.85,1.84,308729,408,Dfb,cold (continental)
30,77,2026-08-07,2026-08-07,2026-08-09,3,70103,70103,38.54,-2.4,41.4,38.0,-4.0,2.81,1.26,264650,348,Csa,temperate
31,52,2026-07-02,2026-07-03,2026-07-04,3,58253,58253,51.03,40.16,35.2,50.0,41.25,3.01,0.98,171478,360,Dfb,cold (continental)
32,102,2026-08-31,2026-08-31,2026-09-02,3,53912,53912,42.73,23.92,37.92,43.75,23.25,2.77,0.91,147803,285,Cfa,temperate
