year,index,HWN,HWD,HWF,HWA,HWM
1985,CTX90pct,0,0,0,,
1986,CTX90pct,2,6,9,15.77,11.7
1987,CTX90pct,1,4,4,23.22,22.61
1988,CTX90pct,0,0,0,,
1989,CTX90pct,1,3,3,15.2,13.93
1990,CTX90pct,2,4,7,17.96,13.02
1991,CTX90pct,1,3,3,14.88,14.09
1992,CTX90pct,1,3,3,6.51,6.12
1993,CTX90pct,2,4,7,13.26,10.59
1994,CTX90pct,1,3,3,17.23,16.92
1995,CTX90pct,2,3,6,21.84,14.35
1996,CTX90pct,2,4,7,25.86,15.78
1997,CTX90pct,0,0,0,,
1998,CTX90pct,2,5,8,24.75,19.17
1999,CTX90pct,6,7,27,22.57,15.89
2000,CTX90pct,5,3,15,10.45,8.22
2001,CTX90pct,1,3,3,24.95,23.69
2002,CTX90pct,1,4,4,23.83,23.24
2003,CTX90pct,5,5,20,24.16,16.37
2004,CTX90pct,0,0,0,,
2005,CTX90pct,1,4,4,23.44,22.88
2006,CTX90pct,4,3,12,19.93,14.58
2007,CTX90pct,2,5,8,22.08,19.85
2008,CTX90pct,3,5,11,22.05,16.14
2009,CTX90pct,4,5,15,15.18,11.19
2010,CTX90pct,1,3,3,9.66,8.84
2011,CTX90pct,1,3,3,19.46,18.59
2012,CTX90pct,8,4,26,23.82,17.18
2013,CTX90pct,7,4,24,25.37,20.76
2014,CTX90pct,6,6,21,25.05,13.17
2015,CTX90pct,1,3,3,20.27,19.35
2016,CTX90pct,5,3,15,21.2,14.36
2017,CTX90pct,2,3,6,23.12,22.29
2018,CTX90pct,4,4,13,25.02,20.91
2019,CTX90pct,0,0,0,,
2020,CTX90pct,4,4,13,24.47,18.51
2021,CTX90pct,4,5,17,23.93,14.63
2022,CTX90pct,9,8,40,25.31,20.13
2023,CTX90pct,5,12,27,24.71,16.77
2024,CTX90pct,9,5,33,24.02,14.6
2025,CTX90pct,10,8,39,25.5,14.95
2026,CTX90pct,0,0,0,,
1985,CTN90pct,0,0,0,,
1986,CTN90pct,4,6,17,9.5,3.04
