,unperturbed_C,optimized_C
2025-08-04 0:00,16.724579,16.741608
2025-08-04 1:00,16.488617,16.491913
2025-08-04 2:00,16.43573,16.416138
2025-08-04 3:00,16.229187,16.248291
2025-08-04 4:00,16.001678,16.038666
2025-08-04 5:00,15.918243,15.925598
2025-08-04 6:00,15.717529,15.717346
2025-08-04 7:00,15.589447,15.599915
2025-08-04 8:00,15.329041,15.326447
2025-08-04 9:00,15.187103,15.162628
2025-08-04 10:00,15.356018,15.326996
2025-08-04 11:00,15.704315,15.6539
2025-08-04 12:00,15.956512,15.91806
2025-08-04 13:00,16.317505,16.275696
2025-08-04 14:00,16.72647,16.680176
2025-08-04 15:00,16.990906,16.955841
2025-08-04 16:00,17.321747,17.244293
2025-08-04 17:00,17.428162,17.353973
2025-08-04 18:00,17.445099,17.360382
2025-08-04 19:00,17.472473,17.43042
2025-08-04 20:00,17.455841,17.356537
2025-08-04 21:00,17.294495,17.24878
2025-08-04 22:00,17.063019,17.001068
2025-08-04 23:00,16.892578,16.82547
2025-08-05 0:00,16.830048,16.784698
2025-08-05 1:00,16.611328,16.571014
2025-08-05 2:00,16.580933,16.53711
2025-08-05 3:00,16.418243,16.384216
2025-08-05 4:00,16.263885,16.209381
2025-08-05 5:00,16.141724,16.063324
2025-08-05 6:00,15.975891,15.913849
2025-08-05 7:00,15.789825,15.726135
2025-08-05 8:00,15.69104,15.635071
2025-08-05 9:00,15.731171,15.643341
2025-08-05 10:00,16.004303,15.899139
2025-08-05 11:00,16.19168,16.145416
2025-08-05 12:00,16.590485,16.58432
2025-08-05 13:00,16.963654,17.06845
2025-08-05 14:00,17.27774,17.437805
2025-08-05 15:00,17.584442,17.674164
2025-08-05 16:00,17.79898,17.801117
2025-08-05 17:00,18.027496,17.972748
2025-08-05 18:00,18.21585,18.164337
2025-08-05 19:00,18.305206,18.273895
2025-08-05 20:00,18.189484,18.227997
2025-08-05 21:00,18.041107,18.061493
2025-08-05 22:00,17.85495,17.860138
2025-08-05 23:00,17.695007,17.709564
2025-08-06 0:00,17.425018,17.48413
2025-08-06 1:00,17.4346,17.473846
2025-08-06 2:00,17.125885,17.252258
2025-08-06 3:00,16.906708,17.016632
2025-08-06 4:00,16.850983,17.010345
