index,start,end,duration,peak,mean_mag,year
CTX90pct,1986-01-27,1986-01-29,3,9.97,8.83,1986
CTX90pct,1986-04-21,1986-04-26,6,15.77,14.56,1986
CTX90pct,1987-07-13,1987-07-16,4,23.22,22.61,1987
CTX90pct,1989-11-16,1989-11-18,3,15.2,13.93,1989
CTX90pct,1990-10-13,1990-10-16,4,17.96,16.55,1990
CTX90pct,1990-12-23,1990-12-25,3,10.29,9.48,1990
CTX90pct,1991-11-03,1991-11-05,3,14.88,14.09,1991
CTX90pct,1992-03-11,1992-03-13,3,6.51,6.12,1992
CTX90pct,1993-04-21,1993-04-24,4,13.26,12.36,1993
CTX90pct,1993-12-13,1993-12-15,3,9.66,8.82,1993
CTX90pct,1994-10-09,1994-10-11,3,17.23,16.92,1994
CTX90pct,1995-01-07,1995-01-09,3,8.06,7.09,1995
CTX90pct,1995-07-08,1995-07-10,3,21.84,21.6,1995
CTX90pct,1996-02-23,1996-02-26,4,8.13,7.08,1996
CTX90pct,1996-08-06,1996-08-08,3,25.86,24.48,1996
CTX90pct,1998-05-01,1998-05-05,5,15.07,14.27,1998
CTX90pct,1998-08-09,1998-08-11,3,24.75,24.08,1998
CTX90pct,1999-02-14,1999-02-16,3,6.2,6.07,1999
CTX90pct,1999-05-05,1999-05-11,7,16.86,14.9,1999
CTX90pct,1999-05-17,1999-05-21,5,16.68,16.19,1999
CTX90pct,1999-05-31,1999-06-02,3,18.26,17.41,1999
CTX90pct,1999-06-11,1999-06-16,6,21.16,19.3,1999
CTX90pct,1999-09-11,1999-09-13,3,22.57,21.48,1999
CTX90pct,2000-01-20,2000-01-22,3,6.5,6.31,2000
CTX90pct,2000-01-26,2000-01-28,3,9.72,9.35,2000
CTX90pct,2000-03-16,2000-03-18,3,8.14,7.06,2000
CTX90pct,2000-03-30,2000-04-01,3,9.39,8.71,2000
CTX90pct,2000-04-04,2000-04-06,3,10.45,9.69,2000
CTX90pct,2001-09-09,2001-09-11,3,24.95,23.69,2001
CTX90pct,2002-08-16,2002-08-19,4,23.83,23.24,2002
CTX90pct,2003-02-01,2003-02-03,3,7.3,6.37,2003
CTX90pct,2003-09-13,2003-09-17,5,24.16,23.07,2003
CTX90pct,2003-09-29,2003-10-03,5,20.25,19.48,2003
CTX90pct,2003-10-22,2003-10-24,3,17.17,17.0,2003
CTX90pct,2003-10-28,2003-10-31,4,18.06,15.93,2003
CTX90pct,2005-07-19,2005-07-22,4,23.44,22.88,2005
CTX90pct,2006-01-15,2006-01-17,3,11.85,10.57,2006
CTX90pct,2006-05-02,2006-05-04,3,15.43,14.85,2006
CTX90pct,2006-06-19,2006-06-21,3,19.93,19.45,2006
CTX90pct,2006-11-18,2006-11-20,3,13.83,13.45,2006
CTX90pct,2007-06-06,2007-06-10,5,18.57,18.06,2007
CTX90pct,2007-08-29,2007-08-31,3,22.08,21.65,2007
CTX90pct,2008-07-07,2008-07-09,3,22.05,21.86,2008
CTX90pct,2008-10-28,2008-10-30,3,15.45,14.94,2008
CTX90pct,2008-12-10,2008-12-14,5,14.22,11.62,2008
CTX90pct,2009-02-28,2009-03-04,5,10.69,7.76,2009
CTX90pct,2009-04-23,2009-04-26,4,11.83,11.23,2009
CTX90pct,2009-05-17,2009-05-19,3,15.18,14.78,2009
CTX90pct,2009-11-27,2009-11-29,3,11.91,10.98,2009
CTX90pct,2010-04-08,2010-04-10,3,9.66,8.84,2010
CTX90pct,2011-09-30,2011-10-02,3,19.46,18.59,2011
CTX90pct,2012-04-10,2012-04-13,4,10.52,9.69,2012
CTX90pct,2012-04-16,2012-04-18,3,13.83,12.61,2012
CTX90pct,2012-04-25,2012-04-27,3,13.37,12.18,2012
CTX90pct,2012-05-15,2012-05-17,3,16.23,15.48,2012
CTX90pct,2012-06-30,2012-07-02,3,21.56,21.48,2012
CTX90pct,2012-08-07,2012-08-09,3,23.82,23.45,2012
CTX90pct,2012-08-27,2012-08-29,3,22.82,22.21,2012
CTX90pct,2012-09-22,2012-09-25,4,22.0,20.31,2012
CTX90pct,2013-05-12,2013-05-15,4,16.56,15.83,2013
CTX90pct,2013-05-24,2013-05-27,4,17.39,16.32,2013
CTX90pct,2013-07-05,2013-07-07,3,25.37,23.55,2013
CTX90pct,2013-07-13,2013-07-15,3,25.07,24.23,2013
CTX90pct,2013-07-25,2013-07-27,3,24.42,24.33,2013
CTX90pct,2013-09-13,2013-09-15,3,23.06,21.57,2013
CTX90pct,2013-09-29,2013-10-02,4,21.17,19.49,2013
CTX90pct,2014-02-14,2014-02-16,3,7.43,6.73,2014
CTX90pct,2014-04-15,2014-04-17,3,11.91,9.85,2014
CTX90pct,2014-07-30,2014-08-04,6,25.05,24.01,2014
CTX90pct,2014-10-18,2014-10-20,3,17.59,17.05,2014
CTX90pct,2014-11-25,2014-11-27,3,12.76,11.73,2014
CTX90pct,2014-12-13,2014-12-15,3,9.81,9.63,2014
CTX90pct,2015-09-29,2015-10-01,3,20.27,19.35,2015
CTX90pct,2016-02-04,2016-02-06,3,9.7,7.13,2016
CTX90pct,2016-05-07,2016-05-09,3,14.95,13.95,2016
CTX90pct,2016-05-23,2016-05-25,3,17.46,15.89,2016
CTX90pct,2016-06-28,2016-06-30,3,21.2,20.88,2016
CTX90pct,2016-11-20,2016-11-22,3,14.18,13.93,2016
CTX90pct,2017-08-22,2017-08-24,3,23.12,22.79,2017
CTX90pct,2017-09-06,2017-09-08,3,22.85,21.78,2017
CTX90pct,2018-04-28,2018-04-30,3,15.22,13.26,2018
CTX90pct,2018-08-01,2018-08-03,3,25.02,23.65,2018
CTX90pct,2018-08-13,2018-08-15,3,24.04,23.82,2018
CTX90pct,2018-08-23,2018-08-26,4,23.62,22.89,2018
CTX90pct,2020-06-23,2020-06-26,4,21.35,20.73,2020
CTX90pct,2020-08-10,2020-08-12,3,24.47,23.56,2020
CTX90pct,2020-09-29,2020-10-01,3,21.18,19.92,2020
CTX90pct,2020-12-05,2020-12-07,3,10.0,9.83,2020
CTX90pct,2021-02-03,2021-02-07,5,7.98,6.37,2021
CTX90pct,2021-03-22,2021-03-26,5,9.86,8.12,2021
CTX90pct,2021-06-22,2021-06-25,4,22.18,20.86,2021
CTX90pct,2021-08-14,2021-08-16,3,23.93,23.18,2021
CTX90pct,2022-05-21,2022-05-23,3,15.96,15.72,2022
CTX90pct,2022-06-23,2022-06-30,8,21.03,20.64,2022
CTX90pct,2022-07-22,2022-07-25,4,25.31,24.11,2022
CTX90pct,2022-08-01,2022-08-07,7,24.29,23.6,2022
CTX90pct,2022-08-25,2022-08-27,3,22.44,22.23,2022
CTX90pct,2022-08-30,2022-09-03,5,23.77,23.08,2022
CTX90pct,2022-09-26,2022-09-28,3,20.98,19.64,2022
CTX90pct,2022-10-19,2022-10-21,3,16.18,16.08,2022
CTX90pct,2022-10-25,2022-10-28,4,16.72,16.06,2022
CTX90pct,2023-01-14,2023-01-18,5,10.29,8.37,2023
CTX90pct,2023-06-22,2023-06-24,3,22.1,21.0,2023
CTX90pct,2023-07-16,2023-07-27,12,24.71,23.76,2023
CTX90pct,2023-09-15,2023-09-17,3,22.12,21.59,2023
CTX90pct,2023-12-19,2023-12-22,4,10.58,9.15,2023
CTX90pct,2024-02-28,2024-03-01,3,7.74,7.23,2024
CTX90pct,2024-03-28,2024-03-30,3,10.17,8.63,2024
CTX90pct,2024-04-13,2024-04-17,5,12.17,10.12,2024
CTX90pct,2024-06-19,2024-06-21,3,23.09,21.6,2024
CTX90pct,2024-08-18,2024-08-21,4,24.02,23.44,2024
CTX90pct,2024-09-06,2024-09-09,4,21.73,21.36,2024
CTX90pct,2024-10-24,2024-10-26,3,17.3,16.47,2024
CTX90pct,2024-11-15,2024-11-18,4,12.83,12.16,2024
CTX90pct,2024-12-19,2024-12-22,4,10.91,10.36,2024
CTX90pct,2025-02-26,2025-02-28,3,7.92,7.19,2025
CTX90pct,2025-03-17,2025-03-19,3,10.9,7.8,2025
CTX90pct,2025-03-21,2025-03-23,3,10.71,9.36,2025
CTX90pct,2025-03-25,2025-03-27,3,7.23,6.97,2025
CTX90pct,2025-05-29,2025-06-02,5,18.92,16.85,2025
CTX90pct,2025-06-04,2025-06-07,4,20.22,18.95,2025
CTX90pct,2025-07-16,2025-07-19,4,23.85,23.15,2025
CTX90pct,2025-08-08,2025-08-15,8,25.5,24.82,2025
CTX90pct,2025-10-07,2025-10-09,3,19.21,18.54,2025
CTX90pct,2025-10-23,2025-10-25,3,16.48,15.83,2025
CTN90pct,1986-01-21,1986-01-23,3,3.75,0.64,1986
CTN90pct,1986-01-28,1986-01-30,3,4.87,1.16,1986
CTN90pct,1986-04-11,1986-04-16,6,3.66,2.7,1986
CTN90pct,1986-04-22,1986-04-26,5,9.5,7.65,1986
CTN90pct,1987-03-19,1987-03-21,3,3.05,2.06,1987
CTN90pct,1987-04-02,1987-04-04,3,3.47,2.89,1987
CTN90pct,1987-05-08,1987-05-11,4,8.64,8.27,1987
CTN90pct,1987-07-13,1987-07-16,4,17.26,16.53,1987
CTN90pct,1988-05-11,1988-05-14,4,7.59,6.07,1988
CTN90pct,1988-06-28,1988-06-30,3,15.46,15.2,1988
CTN90pct,1989-04-06,1989-04-08,3,2.86,2.2,1989
CTN90pct,1989-08-06,1989-08-09,4,18.73,18.37,1989
CTN90pct,1989-08-15,1989-08-17,3,18.01,17.59,1989
CTN90pct,1990-04-03,1990-04-06,4,3.77,2.64,1990
CTN90pct,1990-06-15,1990-06-20,6,13.05,12.19,1990
CTN90pct,1990-10-13,1990-10-16,4,14.16,12.55,1990
CTN90pct,1990-11-18,1990-11-21,4,10.18,7.56,1990
CTN90pct,1991-11-03,1991-11-05,3,11.23,9.72,1991
CTN90pct,1992-09-10,1992-09-12,3,16.54,15.89,1992
CTN90pct,1993-04-22,1993-04-24,3,8.07,7.02,1993
CTN90pct,1993-05-22,1993-05-24,3,11.41,9.57,1993
CTN90pct,1993-12-13,1993-12-15,3,6.66,6.14,1993
CTN90pct,1994-06-30,1994-07-03,4,14.55,14.38,1994
CTN90pct,1994-07-28,1994-07-30,3,18.84,17.94,1994
CTN90pct,1994-08-07,1994-08-10,4,19.39,17.99,1994
CTN90pct,1994-08-28,1994-08-30,3,17.34,17.05,1994
CTN90pct,1994-10-09,1994-10-11,3,11.65,11.2,1994
CTN90pct,1995-01-23,1995-01-25,3,-0.41,-0.91,1995
CTN90pct,1995-06-14,1995-06-16,3,12.75,11.61,1995
CTN90pct,1996-02-16,1996-02-18,3,1.28,0.32,1996
CTN90pct,1996-02-24,1996-02-28,5,5.41,2.54,1996
CTN90pct,1996-03-20,1996-03-23,4,1.11,0.47,1996
CTN90pct,1996-12-10,1996-12-13,4,6.81,5.18,1996
CTN90pct,1997-06-18,1997-06-20,3,12.96,12.3,1997
CTN90pct,1998-01-31,1998-02-03,4,1.43,-0.13,1998
CTN90pct,1998-02-26,1998-03-04,7,4.34,1.44,1998
CTN90pct,1998-05-02,1998-05-05,4,8.25,6.34,1998
CTN90pct,1998-08-10,1998-08-13,4,18.72,17.97,1998
CTN90pct,1999-02-05,1999-02-07,3,3.78,1.76,1999
CTN90pct,1999-02-14,1999-02-16,3,2.21,1.4,1999
CTN90pct,1999-03-09,1999-03-12,4,2.83,2.12,1999
